ST_CASE,YEAR,FATALS,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,STATENAME,MONTHNAME,DAYNAME,DAY_WEEKNAME,HOURNAME,MINUTENAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,RD_OWNERNAME,NHSNAME,SP_JURNAME,HARM_EVNAME,MAN_COLLNAME,RELJCT1NAME,RELJCT2NAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LGT_CONDNAME,WEATHERNAME,SCH_BUSNAME,RAILNAME,LATITUDE,LONGITUD,COUNTYNAME,CITYNAME
80001,2015,1,0,0,1,1,0,1,1,Colorado,January,1,Thursday,4:00am-4:59am,13,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,No,Not Applicable,38.06830556,-107.6952583,Unknown,Unknown
80002,2015,1,3,6,2,1,1,5,2,Colorado,January,3,Saturday,2:00pm-2:59pm,41,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Shoulder,,Daylight,Snow,No,Not Applicable,39.55342222,-105.2425083,Unknown,Unknown
80003,2015,1,0,0,3,3,0,5,5,Colorado,January,4,Sunday,6:00pm-6:59pm,26,County Road,Urban,Principal Arterial - Other,County Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.84895,-105.0060667,Unknown,Unknown
80004,2015,1,0,0,2,2,0,5,5,Colorado,January,5,Monday,8:00pm-8:59pm,40,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,38.78195833,-105.1236472,Unknown,Unknown
80005,2015,1,0,0,2,2,0,3,3,Colorado,January,6,Tuesday,12:00pm-12:59pm,7,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.76971667,-105.4484556,Unknown,Unknown
80006,2015,1,0,0,2,2,0,2,2,Colorado,January,6,Tuesday,5:00pm-5:59pm,7,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,Four-Way Intersection,On Roadway,,Dusk,Clear,No,Not Applicable,38.83863889,-104.4613667,Unknown,Unknown
80007,2015,1,0,0,1,1,0,1,1,Colorado,January,8,Thursday,1:00pm-1:59pm,47,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,38.24321667,-104.2337861,Unknown,Unknown
80008,2015,1,1,1,2,2,0,3,3,Colorado,January,8,Thursday,8:00pm-8:59pm,50,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Snow,No,Not Applicable,39.71123889,-105.0254833,Unknown,Unknown
80009,2015,1,0,0,1,1,0,1,1,Colorado,January,9,Friday,9:00am-9:59am,5,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Traffic Sign Support,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,T-Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,40.14545,-104.6031056,Unknown,Unknown
80010,2015,2,0,0,1,1,0,2,2,Colorado,January,10,Saturday,10:00am-10:59am,0,County Road,Rural,Local,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,Outside Trafficway,,Daylight,Clear,No,Not Applicable,38.59138889,-107.9228889,Unknown,Unknown
80011,2015,1,0,0,1,1,0,1,1,Colorado,January,11,Sunday,5:00am-5:59am,5,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,38.06062778,-103.2434111,Unknown,Unknown
80012,2015,1,0,0,1,1,0,2,2,Colorado,January,7,Wednesday,10:00am-10:59am,23,U.S. Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Snow,No,Not Applicable,37.66967222,-104.0028222,Unknown,Unknown
80013,2015,2,0,0,2,2,0,3,3,Colorado,January,12,Monday,9:00am-9:59am,15,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Daylight,Snow,No,Not Applicable,38.64444444,-104.6940528,Unknown,Unknown
80014,2015,1,0,0,1,1,0,2,2,Colorado,January,13,Tuesday,7:00am-7:59am,57,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Curb,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,39.78,-104.9636111,Unknown,Unknown
80015,2015,1,0,0,1,1,0,1,1,Colorado,January,17,Saturday,5:00pm-5:59pm,10,County Road,Rural,Minor Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,Four-Way Intersection,On Roadside,,Dark - Not Lighted,Clear,No,Not Applicable,40.34845,-104.5656944,Unknown,Unknown
80016,2015,1,0,0,2,2,0,2,2,Colorado,January,17,Saturday,11:00pm-11:59pm,25,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Shoulder,,Dark - Not Lighted,Clear,No,Not Applicable,40.08054444,-104.9024444,Unknown,Unknown
80017,2015,1,0,0,2,2,0,2,2,Colorado,January,20,Tuesday,7:00am-7:59am,51,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,T-Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.76925,-104.9035278,Unknown,Unknown
80018,2015,1,0,0,1,1,0,1,1,Colorado,January,20,Tuesday,2:00am-2:59am,56,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Lighted,Snow,No,Not Applicable,39.71194444,-105.1457639,Unknown,Unknown
80019,2015,1,1,1,1,1,0,1,1,Colorado,January,22,Thursday,6:00pm-6:59pm,50,County Road,Rural,Minor Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,39.92253333,-104.7711639,Unknown,Unknown
80020,2015,1,0,0,1,1,0,1,1,Colorado,January,23,Friday,1:00pm-1:59pm,20,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Boulder,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Daylight,Clear,No,Not Applicable,38.88403333,-104.9510417,Unknown,Unknown
80021,2015,1,1,1,1,1,0,1,1,Colorado,January,23,Friday,1:00pm-1:59pm,52,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Non-Motorist on Personal Conveyance,Not a Collision with Motor Vehicle In-Transport,No,Driveway Access,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.69829167,-104.8470806,Unknown,Unknown
80022,2015,1,1,1,1,1,0,1,1,Colorado,January,24,Saturday,6:00pm-6:59pm,32,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,T-Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,38.27504444,-104.4965694,Unknown,Unknown
80023,2015,2,0,0,2,2,0,3,3,Colorado,January,25,Sunday,11:00am-11:59am,14,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.76118611,-105.4380556,Unknown,Unknown
80024,2015,1,0,0,2,2,0,5,5,Colorado,January,25,Sunday,5:00pm-5:59pm,6,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.67477778,-104.8240694,Unknown,Unknown
80025,2015,4,0,0,2,2,0,5,5,Colorado,January,25,Sunday,9:00pm-9:59pm,40,U.S. Highway,Rural,Principal Arterial - Other Freeways and Expressways,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Curb,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Dark - Not Lighted,Clear,No,Not Applicable,40.33726667,-104.7141389,Unknown,Unknown
80026,2015,1,1,1,1,1,0,1,1,Colorado,January,23,Friday,9:00pm-9:59pm,19,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.10847222,-108.5428556,Unknown,Unknown
80027,2015,1,0,0,1,1,0,1,1,Colorado,January,26,Monday,12:00pm-12:59pm,44,County Road,Urban,Principal Arterial - Other,County Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Curb,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,T-Intersection,Gore,,Daylight,Clear,No,Not Applicable,39.60473056,-105.1102,Unknown,Unknown
80029,2015,1,0,0,1,1,0,3,3,Colorado,January,29,Thursday,11:00am-11:59am,40,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Daylight,Clear,No,Not Applicable,40.95027778,-104.9243333,Unknown,Unknown
80030,2015,1,0,0,2,2,0,3,3,Colorado,January,29,Thursday,8:00pm-8:59pm,10,County Road,Urban,Minor Arterial,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,40.53458333,-105.1152306,Unknown,Unknown
80031,2015,1,0,0,1,1,0,1,1,Colorado,January,18,Sunday,2:00am-2:59am,12,County Road,Urban,Minor Arterial,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Fence,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,Outside Trafficway,,Dark - Not Lighted,Clear,No,Not Applicable,40.00052222,-104.7911278,Unknown,Unknown
80032,2015,1,0,0,2,1,1,1,1,Colorado,January,30,Friday,7:00pm-7:59pm,57,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.74833333,-105.0393333,Unknown,Unknown
80033,2015,3,0,0,1,1,0,3,3,Colorado,January,31,Saturday,1:00am-1:59am,58,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Other Object (not fixed),Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Rain,No,Not Applicable,38.47467222,-107.9229278,Unknown,Unknown
80034,2015,1,0,0,3,3,0,8,8,Colorado,January,9,Friday,8:00pm-8:59pm,30,U.S. Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,39.73762222,-105.3813056,Unknown,Unknown
80035,2015,2,0,0,3,3,0,9,9,Colorado,January,17,Saturday,2:00pm-2:59pm,18,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,40.09423611,-104.8125472,Unknown,Unknown
80036,2015,1,0,0,2,2,0,3,3,Colorado,January,13,Tuesday,11:00am-11:59am,10,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,40.00391667,-105.1029583,Unknown,Unknown
80037,2015,1,0,0,2,2,0,2,2,Colorado,February,3,Tuesday,5:00am-5:59am,50,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Snow,No,Not Applicable,40.14936944,-105.8891528,Unknown,Unknown
80038,2015,1,0,0,1,1,0,4,4,Colorado,February,4,Wednesday,7:00am-7:59am,35,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Daylight,Snow,No,Not Applicable,39.29463056,-102.5327778,Unknown,Unknown
80039,2015,1,0,0,1,1,0,1,1,Colorado,February,1,Sunday,3:00am-3:59am,45,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Dark - Not Lighted,Clear,No,Not Applicable,39.39607222,-108.1241667,Unknown,Unknown
80040,2015,1,1,1,1,1,0,1,1,Colorado,February,2,Monday,0:00am-0:59am,40,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedalcyclist,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,38.85523889,-104.7202417,Unknown,Unknown
80041,2015,1,0,0,2,2,0,2,2,Colorado,February,4,Wednesday,7:00am-7:59am,25,County Road,Rural,Minor Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Snow,No,Not Applicable,40.16365833,-104.6782417,Unknown,Unknown
80042,2015,1,0,0,2,2,0,4,4,Colorado,February,7,Saturday,5:00pm-5:59pm,12,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,40.40659722,-104.8323389,Unknown,Unknown
80043,2015,1,1,1,1,1,0,4,4,Colorado,February,8,Sunday,2:00am-2:59am,16,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.74011111,-104.9936194,Unknown,Unknown
80044,2015,1,0,0,4,4,0,4,4,Colorado,February,8,Sunday,12:00pm-12:59pm,57,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Same Direction,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.93193056,-104.7898611,Unknown,Unknown
80045,2015,1,0,0,1,1,0,2,2,Colorado,February,6,Friday,5:00pm-5:59pm,30,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Bridge Rail (Includes parapet),Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,37.7481,-106.1581389,Unknown,Unknown
80046,2015,1,0,0,3,3,0,4,4,Colorado,February,11,Wednesday,8:00pm-8:59pm,29,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,39.76358333,-105.4445833,Unknown,Unknown
80047,2015,1,3,3,1,1,0,1,1,Colorado,February,13,Friday,4:00pm-4:59pm,41,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.70197778,-104.9593972,Unknown,Unknown
80048,2015,1,0,0,1,1,0,1,1,Colorado,February,17,Tuesday,11:00pm-11:59pm,45,County Road,Rural,Minor Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,Outside Trafficway,,Dark - Not Lighted,Clear,No,Not Applicable,37.65018333,-106.4021778,Unknown,Unknown
80049,2015,1,0,0,1,1,0,2,2,Colorado,February,16,Monday,3:00pm-3:59pm,10,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,37.21725,-107.3392917,Unknown,Unknown
80050,2015,1,0,0,1,1,0,7,7,Colorado,February,19,Thursday,2:00pm-2:59pm,43,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,"Other Post, Other Pole or Other Supports",Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Daylight,Clear,No,Not Applicable,40.23230556,-104.0993667,Unknown,Unknown
80051,2015,1,0,0,2,2,0,2,2,Colorado,February,21,Saturday,1:00pm-1:59pm,40,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Snow,No,Not Applicable,40.52488333,-104.8058889,Unknown,Unknown
80052,2015,1,0,0,1,1,0,2,2,Colorado,February,21,Saturday,2:00pm-2:59pm,37,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,Outside Trafficway,,Daylight,Snow,No,Not Applicable,39.76681389,-105.4482944,Unknown,Unknown
80053,2015,1,1,1,1,1,0,4,4,Colorado,February,21,Saturday,9:00pm-9:59pm,10,U.S. Highway,Rural,Principal Arterial - Other Freeways and Expressways,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Snow,No,Not Applicable,40.2125,-105.1023333,Unknown,Unknown
80054,2015,1,0,0,2,2,0,3,3,Colorado,February,24,Tuesday,7:00pm-7:59pm,55,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,38.46616944,-104.9974722,Unknown,Unknown
80055,2015,1,0,0,1,1,0,1,1,Colorado,February,11,Wednesday,9:00am-9:59am,39,U.S. Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,39.04799444,-105.5606333,Unknown,Unknown
80056,2015,1,0,0,1,1,0,1,1,Colorado,February,18,Wednesday,1:00pm-1:59pm,20,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Traffic Sign Support,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,40.82941667,-105.2441111,Unknown,Unknown
80057,2015,1,0,0,3,3,0,6,6,Colorado,February,19,Thursday,3:00pm-3:59pm,50,County Road,Rural,Minor Arterial,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,T-Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,38.99841667,-104.6847222,Unknown,Unknown
80058,2015,1,0,0,1,1,0,1,1,Colorado,February,25,Wednesday,2:00pm-2:59pm,52,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Boulder,Not a Collision with Motor Vehicle In-Transport,No,Entrance/Exit Ramp Related,Not an Intersection,Gore,,Daylight,Clear,No,Not Applicable,39.69931389,-105.7120139,Unknown,Unknown
80059,2015,1,0,0,2,2,0,2,2,Colorado,February,26,Thursday,6:00am-6:59am,35,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,37.61679167,-106.1491944,Unknown,Unknown
80060,2015,1,0,0,3,3,0,3,3,Colorado,February,24,Tuesday,4:00pm-4:59pm,58,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.74012222,-104.9095306,Unknown,Unknown
80061,2015,1,0,0,3,3,0,4,4,Colorado,February,2,Monday,3:00pm-3:59pm,0,U.S. Highway,Urban,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.07735556,-108.5559333,Unknown,Unknown
80062,2015,1,0,0,2,2,0,4,4,Colorado,February,28,Saturday,8:00am-8:59am,5,County Road,Urban,Minor Arterial,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.78732222,-105.174675,Unknown,Unknown
80063,2015,1,0,0,2,2,0,2,2,Colorado,February,23,Monday,2:00pm-2:59pm,5,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.74009444,-104.8755278,Unknown,Unknown
80064,2015,1,0,0,1,1,0,1,1,Colorado,March,1,Sunday,2:00am-2:59am,20,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Dark - Not Lighted,Clear,No,Not Applicable,39.54481389,-107.6330556,Unknown,Unknown
80065,2015,1,0,0,1,1,0,1,1,Colorado,March,2,Monday,11:00pm-11:59pm,43,County Road,Urban,Principal Arterial - Other,County Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Curb,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Dark - Lighted,Clear,No,Not Applicable,39.55208333,-104.9544889,Unknown,Unknown
80066,2015,1,1,1,1,1,0,1,1,Colorado,March,3,Tuesday,1:00am-1:59am,54,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.67213889,-105.0249778,Unknown,Unknown
80067,2015,1,0,0,2,2,0,2,2,Colorado,March,4,Wednesday,0:00am-0:59am,10,State Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Snow,No,Not Applicable,40.61048333,-103.6089167,Unknown,Unknown
80068,2015,2,0,0,1,1,0,4,4,Colorado,March,6,Friday,12:00pm-12:59pm,20,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Other Fixed Object,Not a Collision with Motor Vehicle In-Transport,No,Intersection-Related,T-Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,39.75445556,-104.8098222,Unknown,Unknown
80069,2015,1,0,0,1,1,0,1,1,Colorado,March,6,Friday,3:00pm-3:59pm,12,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,Not a Collision with Motor Vehicle In-Transport,No,Non-Junction,Not an Intersection,On Median,,Daylight,Clear,No,Not Applicable,39.6875,-106.7522222,Unknown,Unknown
80070,2015,1,0,0,2,2,0,2,2,Colorado,March,6,Friday,8:00pm-8:59pm,29,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.67490278,-104.8240639,Unknown,Unknown
80071,2015,2,0,0,1,1,0,2,2,Colorado,March,7,Saturday,2:00am-2:59am,44,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,Yes,Entrance/Exit Ramp Related,Not an Intersection,On Roadside,,Dark - Lighted,Clear,No,Not Applicable,39.63409722,-104.9032056,Unknown,Unknown
